model_key,composite,projected,raw,relative_RMSE_change_percent
adaboost_regressor,COD,45.57892238420844,31.483452257423863,44.77104356769145
adaboost_regressor,TN,4.010352539409733,6.43824168934147,-37.7104381457303
adaboost_regressor,TP,0.000748378323158245,2.7475406278227616,-99.97276188327918
adaboost_regressor,TSS,38.424621423413484,22.518278931377324,70.63746985508743
ann_deep_regressor,COD,8.489969976051555,5.348068509251942,58.74833991681763
ann_deep_regressor,TN,0.7616465719061999,1.1652597620147123,-34.63718591043363
ann_deep_regressor,TP,0.00020651726428650365,0.506583442018798,-99.95923331732605
ann_deep_regressor,TSS,7.321086487217542,4.759232615766984,53.82913755808713
catboost_regressor,COD,11.15831402139648,5.503639917039795,102.74425997328194
catboost_regressor,TN,1.9982341296023716,2.3551941439652335,-15.156288294852828
catboost_regressor,TP,0.000349862871308232,0.7630505013403722,-99.95414944742272
catboost_regressor,TSS,9.195302561098615,5.291287118606642,73.78196183615943
extra_trees_regressor,COD,51.63262572900196,44.07345770752472,17.15129335129668
extra_trees_regressor,TN,3.1983919461709744,6.195830904908769,-48.378320918393925
extra_trees_regressor,TP,0.0006767564262152269,5.379912412280297,-99.98742067947666
extra_trees_regressor,TSS,41.44697777909371,34.38983810146269,20.521002910248814
knn_regressor,COD,52.04092375971921,38.708408026903804,34.44346180175844
knn_regressor,TN,4.032585973325603,6.60343340164242,-38.931980864339295
knn_regressor,TP,0.0006322682367425205,3.2833915832745246,-99.98074344102108
knn_regressor,TSS,39.64134061071057,27.422511172017046,44.55766053680042
lightgbm_regressor,COD,14.958269920101534,7.473463749211159,100.15176927405868
lightgbm_regressor,TN,2.1927214864258184,2.6846347172176928,-18.323283522969724
lightgbm_regressor,TP,0.000353773521711835,0.9756426782563757,-99.96373943764493
lightgbm_regressor,TSS,11.982261996061899,6.692132502609378,79.04998132343924
multitask_elastic_net_regressor,COD,26.437994902273818,16.074691855052247,64.46968402672306
multitask_elastic_net_regressor,TN,4.098406110586874,4.241294883969732,-3.368989360370022
multitask_elastic_net_regressor,TP,0.0006680718043310843,0.02798747344799605,-97.61296136440312
multitask_elastic_net_regressor,TSS,18.595160824267843,12.482682105869777,48.96767110270133
multitask_lasso_regressor,COD,26.44024640142544,16.074301945030548,64.48768034744785
multitask_lasso_regressor,TN,4.098370377983757,4.2413508295682245,-3.3711064547570775
multitask_lasso_regressor,TP,0.0006680714469401476,0.02895715099223751,-97.69289648999228
multitask_lasso_regressor,TSS,18.598648961998826,12.48266197829903,48.995855165607885
pls_regressor,COD,58.10456653643259,44.82494874144713,29.625505812807635
pls_regressor,TN,4.506174913577533,10.180035703417849,-55.73517574143057
pls_regressor,TP,0.0007260265750682947,5.002591579004599,-99.9854869908206
pls_regressor,TSS,45.91296171910808,45.59723190715941,0.6924319717291809
random_forest_regressor,COD,69.23729732445679,33.04353111813972,109.53359093770698
random_forest_regressor,TN,4.705148683785649,10.88802075107439,-56.78600554355701
random_forest_regressor,TP,0.0009260416995808915,6.657795918232051,-99.9860908668431
random_forest_regressor,TSS,56.894808831605914,25.33895848653851,124.53491473152562
svr_regressor,COD,17.003492470802264,9.160567459670613,85.616148187982
svr_regressor,TN,3.0632042282830976,3.607656225284463,-15.09157089817879
svr_regressor,TP,0.00038470846155817996,0.5321158557272084,-99.92770212399847
svr_regressor,TSS,12.383172382558296,7.48087123748698,65.53115258160929
xgboost_regressor,COD,15.191647182017357,8.328037818574817,82.41568437806535
xgboost_regressor,TN,2.1923704177777252,2.745326033964237,-20.14171028670306
xgboost_regressor,TP,0.0003756061082387305,1.0434102143383397,-99.9640020671566
xgboost_regressor,TSS,12.305409289104887,6.909488855909627,78.09435033070753
