model_key,sample_size,fold_count
adaboost_regressor,500,5
adaboost_regressor,1450,5
adaboost_regressor,2400,5
adaboost_regressor,3350,5
adaboost_regressor,4300,5
adaboost_regressor,5250,5
adaboost_regressor,6200,5
adaboost_regressor,7150,5
adaboost_regressor,8100,5
adaboost_regressor,9050,5
adaboost_regressor,10000,5
catboost_regressor,500,5
catboost_regressor,1450,5
catboost_regressor,2400,5
catboost_regressor,3350,5
catboost_regressor,4300,5
catboost_regressor,5250,5
catboost_regressor,6200,5
catboost_regressor,7150,5
catboost_regressor,8100,5
catboost_regressor,9050,5
catboost_regressor,10000,5
extra_trees_regressor,500,5
extra_trees_regressor,1450,5
extra_trees_regressor,2400,5
extra_trees_regressor,3350,5
extra_trees_regressor,4300,5
extra_trees_regressor,5250,5
extra_trees_regressor,6200,5
extra_trees_regressor,7150,5
extra_trees_regressor,8100,5
extra_trees_regressor,9050,5
extra_trees_regressor,10000,5
knn_regressor,500,5
knn_regressor,1450,5
knn_regressor,2400,5
knn_regressor,3350,5
knn_regressor,4300,5
knn_regressor,5250,5
knn_regressor,6200,5
knn_regressor,7150,5
knn_regressor,8100,5
knn_regressor,9050,5
knn_regressor,10000,5
lightgbm_regressor,500,5
lightgbm_regressor,1450,5
lightgbm_regressor,2400,5
lightgbm_regressor,3350,5
lightgbm_regressor,4300,5
lightgbm_regressor,5250,5
lightgbm_regressor,6200,5
lightgbm_regressor,7150,5
lightgbm_regressor,8100,5
lightgbm_regressor,9050,5
lightgbm_regressor,10000,5
multitask_elastic_net_regressor,500,5
multitask_elastic_net_regressor,1450,5
multitask_elastic_net_regressor,2400,5
multitask_elastic_net_regressor,3350,5
multitask_elastic_net_regressor,4300,5
multitask_elastic_net_regressor,5250,5
multitask_elastic_net_regressor,6200,5
multitask_elastic_net_regressor,7150,5
multitask_elastic_net_regressor,8100,5
multitask_elastic_net_regressor,9050,5
multitask_elastic_net_regressor,10000,5
multitask_lasso_regressor,500,5
multitask_lasso_regressor,1450,5
multitask_lasso_regressor,2400,5
multitask_lasso_regressor,3350,5
multitask_lasso_regressor,4300,5
multitask_lasso_regressor,5250,5
multitask_lasso_regressor,6200,5
multitask_lasso_regressor,7150,5
multitask_lasso_regressor,8100,5
multitask_lasso_regressor,9050,5
multitask_lasso_regressor,10000,5
pls_regressor,500,5
pls_regressor,1450,5
pls_regressor,2400,5
pls_regressor,3350,5
pls_regressor,4300,5
pls_regressor,5250,5
pls_regressor,6200,5
pls_regressor,7150,5
pls_regressor,8100,5
pls_regressor,9050,5
pls_regressor,10000,5
random_forest_regressor,500,5
random_forest_regressor,1450,5
random_forest_regressor,2400,5
random_forest_regressor,3350,5
random_forest_regressor,4300,5
random_forest_regressor,5250,5
random_forest_regressor,6200,5
random_forest_regressor,7150,5
random_forest_regressor,8100,5
random_forest_regressor,9050,5
random_forest_regressor,10000,5
svr_regressor,500,5
svr_regressor,1450,5
svr_regressor,2400,5
svr_regressor,3350,5
svr_regressor,4300,5
svr_regressor,5250,5
svr_regressor,6200,5
svr_regressor,7150,5
svr_regressor,8100,5
svr_regressor,9050,5
svr_regressor,10000,5
xgboost_regressor,500,5
xgboost_regressor,1450,5
xgboost_regressor,2400,5
xgboost_regressor,3350,5
xgboost_regressor,4300,5
xgboost_regressor,5250,5
xgboost_regressor,6200,5
xgboost_regressor,7150,5
xgboost_regressor,8100,5
xgboost_regressor,9050,5
xgboost_regressor,10000,5
